,company,job_title,location,salary,summary,est_salary
708,Nestlé Australia Ltd,Senior Analyst - Customer Analytics,Sydney NSW,0,"Reporting to our CRM Manager, you are a switched-on business analyst who is passionate about data and thrives on finding insights to help shape business...",80000
709,AccessHQ,Test Analyst - Business Intelligence & Data Warehouse,Melbourne VIC,0,"Proven experience testing API's, Business Intelligence (BI), System Integration, SQL, Data Mining and Data Warehouse....",80000
710,RMIT University,Portfolio Analyst,Melbourne City Centre VIC,0,"EPMO Portfolio Analyst PD v1.0.pdf. Significant experience accessing and understanding portfolio, program and project performance data using financial and non...",80000
711,APA Group,Systems Analyst Reporting,Sydney NSW,0,Strong data modelling skills (e.g. We have an exciting full time opportunity available for a Systems Analyst (Reporting) to join the Finance Systems Team within...,80000
712,Pilbara Ports Authority,Operations Analyst - 10 Month Contract,Port Hedland WA,"$97,623 a year","This role also provides data analysis from a range of data sources including systems such as Qlik, Klein, Tickit and other databases....",80000
713,Auto & General Insurance,Systems Analyst,Queensland,0,Identify data quality issues and rectify to generate single source of data truth to support decision making;...,80000
714,Manpower Services (Hong Kong) Limited,Senior Network Analyst,Australia,0,Support the planning/ design of and provide technical support for data communications network or group of networks in the organization....,80000
715,ArisTech Pty Ltd,Systems Analyst,Canberra ACT,0,"A Federal Government requires several Systems Analyst for Data Analytics, Insurance and Disability Services Branch....",80000
716,Perigon Group,Junior Analyst,Sydney NSW,"$80,000 a year","This is a newly created Analyst role in this large, top-tier professional services firm. Furthermore, you will ensure that the maintenance of the client and...",80000
717,The University of Queensland,Senior Information Security Analyst,Queensland,"$85,338 - $102,993 a year","The Analyst team actively participates in information security training, knowledge sharing and general discussion....",80000
718,Pepper,Senior Quantitative Analyst - Risk,North Sydney NSW,0,"Techniques used to collect, organise and interpret quantifiable data for commercial analysis. We are seeking an experienced Senior Quantitative Risk Analyst to...",80000
719,CBRE Asia Pacific,Sales Analyst,Sydney NSW,0,Data management and analytics. You will be responsible for leading the management of essential market data....,80000
720,DocuSign,Sales Operations Analyst,Sydney NSW,0,"Sales Operations Analyst, APAC. The Sales Operations Analyst is a key member of the Sales Operations & Strategy team....",80000
721,DXC,Business Operations Analyst,Macquarie Park NSW,0,Verification of the quality of hardware & software asset data. Review account process and tools used for the collection of Volumetric Billing Data....,80000
722,Morgan McKinley,Data Analyst: Risk and Compliance,Sydney Central Business District NSW,0,Contract role for a solid data analyst. Big Four banking client are looking for a data analyst to work on a new compliance and risk programme of work in the...,80000
723,Macquarie Group Limited,Equity Research Analyst - Banks/Financials,Sydney NSW,0,"You’ll support senior analysts in analysing individual companies and the broader sector, as well as producing insightful reports and recommendations....",80000
724,GWF,Commercial Analyst,Sydney NSW,0,This is a full-time permanent role for a Business Partner Commercial Analyst. You will be able to distil large volumes of complex data into clear and concise...,80000
725,Corrections Victoria,Analyst,Melbourne City Centre VIC,"$82,574 - $93,689 a year","Strong skills and experience in data collection and analysis, particularly quantitative data. This position will provide you with the opportunity to demonstrate...",80000
726,Cochlear Ltd,Marketing Strategy Analyst,Sydney NSW,0,"Create and implement a robust analysis toolkit for the acquisition of new candidates to provide data and recommendations for the business, including data mining...",80000
727,Supply Chain,Business Analyst,New South Wales,0,Data Mining and ability to publish & present data using Visualisation Tools. Business Analyst |A Fresh New Direction....,80000
728,Woolworths Supermarkets,Business Analyst,New South Wales,0,Business Analyst - Key sustainability program - 6 month contract. Providing insights for the business and store teams from data....,80000
729,Equifax,Cyber Security Incident Response Analyst,Sydney NSW,0,"Cyber Security Incident Response Analyst. The Incident Responses Analyst helps ensure Company, system, and data preservation by performing immediate, effective,...",80000
730,Supermarkets,Productivity Improvement Analyst,New South Wales,0,"Productivity Improvement Analyst | Bella Vista. Conduct work measurement studies, including data collection and analysis....",80000
731,DocuSign,Incident Response Analyst,Sydney NSW,0,Incident Response Analyst. Experience with data and message transport technologies. DocuSign is seeking a passionate and talented Incident Response Analyst to...,80000
732,Auto & General Insurance,Business Systems Analyst,Queensland,0,"Experience working with data, data warehouse projects, business intelligence projects. Identify and assess potential new data sources....",80000
733,Hanson,IT Analyst (Concrete Technology) – Brisbane or Sydney,New South Wales,0,"IT Analyst (Concrete Technology) – Brisbane or Sydney. This IT Analyst will join a team with members located in Sydney and Brisbane, and will report to the...",80000
734,Tekskills,"Technical Business Analyst, Credit Risk Domain",Sydney Western Suburbs NSW,0,"Technical Business Analyst, Credit Risk Domain. Possess strong data analysis and database skills, with experience in data mapping, modelling, ETL technologies...",80000
735,Parity Consulting,Reporting Analyst,Sydney Central Business District NSW,$350 a day,Responding to daily data requests from both internal & external clients. Data analysis and working with Product Managers as part of the product development...,80000
736,Reserve Bank of Australia,Senior Statistics Analyst,Sydney NSW,0,"You will primarily assist the economists in transforming data, compiling reports and supporting data visualisation for RBA publications....",80000
737,Sportsbet.com.au,Data Scientist,Melbourne VIC,0,Skills in Data engineering and/or Software engineering are a definite plus. We are looking for a Data Scientist to bring our Machine Learning capability to the...,80000
738,Pacific Investment Management Company LLC,"Quantitative Research Analyst, Financial Institutions",Sydney NSW,0,"Quantitative Research Analyst, Financial Institutions. ""Quantitative Research Analyst, Financial Institutions"", ""url"" :....",80000
739,Philips,Commercial Analyst,Sydney NSW,0,"You will use this data to develop dashboards, including comparative pricing data, for monthly reporting. A brand new opportunity has recently become available...",80000
740,Medibank,Customer Strategy Analyst,Melbourne VIC,0,Customer Strategy Analyst. Review market data and insights developed by Group Strategy to ensure they can be leveraged by ahm....,80000
741,Alloc8 Recruitment Solutions Pty Ltd,Junior Data Scientist.,Sydney NSW,0,This member based company are looking to expand the Data team with a Junior Data Engineer. You can expect to become a fully trained and experience Data /...,80000
742,Profisee,Technical Support Analyst - Sydney,Macquarie Park NSW,0,The Technical Support Analyst (“TSA”) will focus primarily on delivering support services for Profisee’s Master Data Maestro platform and Microsoft’s Master...,80000
743,British American Tobacco,Marketing Insights & Agency Analyst,Sydney NSW,0,"Analyze and interpret data from multiple sources including market performance data, shopper data, and consumer research findings to answer key strategic...",80000
744,Michael Bailey Associates Pty Ltd,Data Scientist,Sydney NSW,"$100,000 a year","The successful applicant will come from a proven background working in a data driven analytics environment, where delivering strategic insights from large data...",80000
745,Chandler Macleod,Data Analyst,Canberra ACT,0,"Our Federal Government client is seeking to engage a Data Analyst on an initial contract for 6 months, with an potential extension thereafter....",80000
746,Precruitment,Data Analyst - Health Surveillance,Cairns QLD,0,"Extract health and demographic data from information systems including Infobank, NoCS, the SAS Portal, and OASys....",80000
747,Ambition,Data Analyst Client Insights,Sydney Central Business District NSW,0,Provision of relevant data driven insights. My client is a leading bank seeking an experienced Client Insights Data Analyst within Financial Institutions...,80000
748,Finite IT,Data Migration Analyst,Sydney NSW,0,Experienced data analyst with strong SQL /BI experience. Expect to work in a big project that would utilize your data analysis skills on large volumes of...,80000
749,Michael Page,Business Analyst - Data Storage,Canberra ACT,0,"Background as a Senior Business Analysis with an understanding in Data Storage or Data Warehousing. Writing clear requirements and creating data models, process...",80000
750,International SOS,Business Analyst Administrator,New South Wales,0,"Based at our offices located in Macquarie Park, the Business Analyst Administrator works as a member of the Performance Management Team within IHMS to provide...",80000
751,GroupM,GroupM | Commercial Analyst,Sydney NSW,0,3 years prior experience in a commercial analyst / accounting role. Any experience in Salesforce or data visualisation programs such as Tableau....,80000
752,SiteMinder,Financial Planning and Analysis Analyst,Sydney NSW,0,"As a Financial Planning and Analysis Analyst, you will be responsible for:. As our Financial Planning and Analysis Analyst reporting to our FP&A Manager, you...",80000
753,Perigon Group,Data Analyst - SAP,Sydney NSW,0,Work experience with Data analysis and large data sets. You will be working as a Data Analyst on an ERP implementation....,80000
754,CBRE Asia Pacific,Business Analyst,Sydney NSW,0,"Experience with CRM technologies, capability across stakeholder, business rules and data analysis, organisational modelling and business process re-engineering....",80000
755,Manpower Services (Hong Kong) Limited,Business System Analyst (HK$30K - HK$40K X 13 Months),Australia,0,Experience with Management Reporting / BI / Data warehouse. Assist Senior Business Analyst with business process re-engineering initiatives....,80000
756,Herbert Smith Freehills,IT SECURITY ANALYST,Sydney NSW,0,"Sound knowledge of LAN/WAN, data processing and programming concepts. We have two new opportunities to join our IT team and play a key role in the proactive...",80000
757,Hays,Test Analyst,Sydney NSW,$32 - $55 an hour,Test Analyst job with NSW Government providing data warehouse/ ETL testing - hourly rates of $32-55 ph + super. Your new company....,80000
758,Parks Victoria,Spatial and Information Analyst - Cartographer,Melbourne City Centre VIC,0,This position is also responsible for collating data updates communicated by the business and escalate changes to management for implementation in corporate...,80000
759,TAL,Risk and Compliance Reporting Analyst,Sydney NSW,0,Extracting and analysing data for risk reporting. We are seeking a Risk and Compliance Analyst with a particular focus on assurance and reporting to our busy...,80000
760,Knight Frank,Senior Property Analyst,Sydney Central Business District NSW,0,An ability to analyse data and transform it into meaningful information will make you a success in this role. We have a very rare opportunity for an experienced...,80000
761,AMP Limited,Investment Operations Analyst - Equity,Sydney NSW,0,"Perform trade administration functions, including the processing/capture of transaction data into AMPCI systems, follow up of all trade related issues and...",80000
762,Healthdirect Australia,Technical-Business-Analyst,Sydney Central Business District NSW,0,"Solid technical background with experience working on system interfaces and data mapping and API’s (REST, SOAP)....",80000
763,Prospa,Business Intelligence Analyst - Fixed Term 12 months,Sydney NSW,0,A deep understanding of Data Visualisation principles. Strong SQL query writing or data transformation experience....,80000
764,comparethemarket.com.au,Business Analyst,Queensland,0,"Data Visualisation skills – Visio, Excel, ER diagrams, BPM etc. 5+ years’ experience in an analyst, technical or management role in a software development...",80000
765,Unisys,Bus Support Svcs Analyst 2,Canberra ACT,0,"Based in Canberra, our Service Management team is currently seeking to engage a Continual Service Improvement officer to join them. The CSI Officer will be...",80000
766,Ruralco,Business Process Manager | Analyst,Macquarie Park NSW,0,"Ideally with strong knowledge of data mining, business process mapping and analysis, and SAP ERP experience....",80000
767,Metcash,National Supply Chain Business Analyst,New South Wales,0,"Streamline the forecast and budget process, present analytical data offering insights and support decision making across the supply chain by building modelling...",80000
768,Woolworths Supermarkets,Category Ranging Analyst,New South Wales,0,Category Ranging Analyst | A Fresh New Direction. Derive actionable insights based on qualitative and quantitative data....,80000
769,Macquarie Group Limited,"Asset and Liability Modelling Analyst, Group Treasury",Sydney NSW,0,You will identify the information needed to drive daily balance sheet risk models and work with data and technology teams to source data inputs....,80000
770,Department of Justice and Regulation,Analyst,Melbourne City Centre VIC,"$82,574 - $93,689 a year","Strong skills and experience in data collection and analysis, particularly quantitative data. This position will provide you with the opportunity to demonstrate...",80000
771,Square,Fraud Analyst,Melbourne VIC,0,Understand our risk systems and investigate account patterns through data analysis. Square’s Risk and Fraud team is seeking a highly motivated Fraud Analyst to...,80000
772,Bank of Queensland,Compliance Analyst,Newstead QLD,0,"Experience in conducting reviews, auditing and analysing data. To be successful in this role, you will have previous compliance experience at the Advisor or...",80000
773,VGW,Insights Analyst,Perth WA,0,We’re looking for an Insights Analyst to join our Data and Analytics team to shine a light on performance and help solve problems using data....,80000
774,Alchemy Recruitment Consulting,Inventory Analyst,Queensland,0,"Coaches peers and executes against the control framework for Master Data Management, maintaining quality and....",80000
775,Woolworths Group Limited,Senior Insights Analyst,New South Wales,0,"Reference data vs assumptions vs transaction data; Microsoft Data Transformation Service or SSIS. Complete, accurate, consistent, timely and compliant data....",80000
776,Victorian Government,Senior Data Analyst - Clinical Reporting (VPSG5),Melbourne City Centre VIC,"$95,275 - $115,276 a year",An experienced data analyst with excellent technical skills. The Senior Data Analyst is responsible for designing and delivering data analysis and reports for...,80000
777,Victorian Government,Analyst and System Specialist (VPSG4),Melbourne City Centre VIC,"$82,574 - $93,689 a year",Analysing systems and data to improve organisational performance and outcomes. Cenitex are recruiting four Analyst and System Specialist roles these roles will...,80000
778,Willis Towers Watson,"Investment Analyst - Strategy, Melbourne",Melbourne VIC,0,"As an investment analyst, you will have immediate exposure to client assignments that will draw on your ability to analyse data, draw conclusions and present...",80000
779,TNT Express,Performance Analyst,Mascot NSW,0,We are looking for a Customer Performance Analyst to support TNT’s national operations by developing reports & analysing data on TNT’s top 10 customers and...,80000
780,SafetyCulture,Marketing Analyst,Sydney NSW,0,Business intelligence & data visualisation tools. You love reliable and accurate data collection and reporting....,80000
781,Dialog Information Technology,SAS SQL Analyst/Developer,Canberra ACT,0,"Ability to interpret, analyse and present data. Dialog is looking for experienced SAS SQL Analyst/Developer with the following:....",80000
782,Woolworths Supermarkets,Lead Data Scientist - R&D,New South Wales,0,"Lead Data Scientist - R&D | Surry Hills. Experience in leading and mentoring teams of data scientists. Exposure to Big Data platforms, such as Hadoop and Spark....",80000
783,Sirius People,Business Intelligence Analyst - MSBI,Sydney NSW,0,"Perform data warehouse tasks (design, build and implement). Proficient in BI tools and data warehouse design preferable MSBI Stack....",80000
784,Technology People Group,Data Centre Infrastructure Analyst -6 month Contract,Sydney NSW,0,In the role of a Data Centre Infrastructure Analyst you will be part of the Global Data Center Management team whose responsibility is the provision of suitable...,80000
785,Balance Recruitment,SQL/BI Data Analyst - Sydney,Sydney NSW,0,Fantastic opportunity for a Data Analyst to join a leading global organisation. Data manipulation and cleansing....,80000
786,Ignite Specialist Recruitment Services,Capacity Analyst,Sydney NSW,$40 an hour,"Excel / Data analysis. Provide detailed analysis of data. Seeking a professional, hardworking Capacity Analyst for a large Telco organisation!...",80000
787,Manpower Services (Hong Kong) Limited,Senior Network Analyst (HK$30K - HK$40K X 13 months),Australia,0,Support the planning/design of and provide technical support for data communications network or group of networks in the organization....,80000
788,Genesis IT&T Pty Ltd,Senior Data & Insights Analyst - Customer Loyalty | SAS | SQ...,Sydney NSW,"$130,000 - $140,000 a year",A large public listed company in the hospitality and entertainment industry is currently looking for an experienced Senior Data & Insights Analyst to develop a...,80000
789,Victorian Government,Assistant Performance Analyst (As per award),Albury-Wodonga VIC,0,Assistant Performance Analyst – HS4. Albury Wodonga Health requires an Assistant Performance Analyst to join our finance team....,80000
790,Tech Mahindra,Systems Analyst,Melbourne VIC,"$130,000 - $199,000 a year","5+ years of experience in data architecture including interface design, data model and ETL. Good understanding of the at least one industry standard billing...",80000
791,HPR Consulting,FP&A Analyst,Sydney NSW,"$120,000 a year",Your role will be to provide vision in developing and implementing critical reports and metrics from various business and industry data....,80000
792,Children's Cancer Institute,Business Analyst Process Improvement Professional,Sydney NSW,0,"5+ years’ experience as a Business Analyst with extensive end to end process improvement. Ensure that solutions are suitably documented (high level design,...",80000
793,Leica Geosystems AG - Part of Hexagon,Technical Business / Data Analyst,Perth WA,0,The role of the Data Analyst is a high visibility role supporting our Enterprise Platform. Defining business rules to validate and enrich data mappings....,80000
794,Victorian Government,Spatial and Information Analyst - Cartographer (PVO4),Melbourne City Centre VIC,"$77,333 - $83,056 a year","Bring your passion and skills to deliver a range of mapping data, technology and information across our Parks systems....",80000
795,Michael Page,Junior Systems Analyst - ERP,Sydney Western Suburbs NSW,0,"Evaluate, analyse and reports on data collected through task analysis, business procedures, surveys and workshops....",80000
796,Queensland Rail,Accountant (internally known as Financial Analyst),Brisbane QLD,"$91,435 - $96,725 a year","Substantial knowledge of core financial systems and processes with specific emphasis on ensuring efficient business process, timely cost capture and high data...",80000
797,Ricoh,Service Business Analyst,North Ryde NSW,0,"Ability to visualise and analyse process, transaction, and data flows. Understand service processes, systems, and data supporting delivery of service to Ricoh...",80000
798,Shoolin Consultancy,Sr. Reference Data Analyst(Data & Analytics),Sydney NSW,0,"Governance, Data Quality, and Data Integration.  Understand data structure, data interfaces and how data flows and transforms from source....",80000
799,Paxus,BI Data Analyst,Sydney NSW,0,"Requirements - Data Analyst. This may include data analysis, reporting, business insight discovery, data visualisation....",80000
800,Talenza,Workers Comp Portfolio Analyst,Sydney NSW,$500 a day,Workers Comp Portfolio Analyst. Testing and reconciling data to ensure correct information is extracted- familiarity with datasets and have data knowledge....,80000
801,Allianz,DATA SCIENTIST,Melbourne VIC,0,"A passion for exploring data to drive business processes. Proven ability to write data manipulation code (SQL, Python, R, SAS or similar)....",80000
802,Onpoint 365,Data Modeler/Analyst APS6,Canberra ACT,0,Data Modeler/Analyst APS6. Undertake complex data modelling and analysis including coding with limited supervision....,80000
803,Clayton Utz,"eDiscovery Analyst, Forensic & Technology Services",Sydney NSW,0,"Processing electronic data in Nuix or equivalent data processing platforms. You will have a well-developed analytical ability, attention to detail and logical...",80000
804,Teradata,Data Developer,Canberra ACT,0,Data Warehousing Skills. Data Developers are broadly aligned with the Data Acquisition & Integration sub-practice....,80000
805,Envato,Data Analytics Specialist - Multiple Positions,Melbourne VIC,"$90,000 - $120,000 a year","Experience with big data - an advantage (this will help you collaborate with our Data Platforms Team). Data is central to our growth strategy, and as a result,...",80000
806,Morgan McKinley,Insights Analyst,Sydney Central Business District NSW,"$100,000 - $120,000 a year","You will be a true data specialist who is used to getting data out form the data warehouse, manipulating data and turning it into insights and engagement...",80000
807,Perigon Group,Data Warehouse Analyst Banking,Sydney NSW,0,"Your team will consist of Application, Project Managers, Business/Systems analysts and Developers. Work directly with business analysts and/or the business end...",80000
808,Ashdown Consulting,Sales & Marketing Campaign Data Analyst - 6-12mth contract,Sydney NSW,"$80,000 - $90,000 a year","Candidates should have exceptional data skills, experience in designing new process and be a consultant on the design and data execution across the business....",80000
809,R/GA,Analyst,Melbourne VIC,0,"What does the data reveal? Loves data and has strong analytical skills. Collect, organize and analyze data from multiple marketing channels....",80000
810,Zinfra,Junior Remuneration Analyst,Melbourne VIC,0,"Provide accurate HR data to the business. Identify and resolve data integrity issues as part of reporting. Working closely with your team and key stakeholders,...",80000
811,AMP Limited,Product Analyst - Insurance,Sydney NSW,0,"Strong quantative skills including gathering, analysing and presenting data. The Product Analyst will work within this function of AMP and support the product...",80000
812,Forrester,Senior Analyst,Sydney NSW,0,"Analysts are at the core of what Forrester is and does; As a part of Forrester’s customer experience (CX) research team in Australia, the Senior Analyst serves...",80000
813,Canberra Consulting,Data Analyst/ ETL Developer,Canberra ACT,0,We want to hear from you because we have multiple Data Analysts/ ETL Developers roles available. The successful candidate will be working in a team of data...,80000
814,Profusion Group,Risk Data Business Analyst,Sydney NSW,0,Strong data manipulation skills. This has significant impacts on their core data systems and data flows across the business....,80000
815,Onpoint 365,Senior Data Analyst,Canberra ACT,0,"Senior Data Analyst. Deliver advice and outputs operating at the interface between data analysis, data mining and efficient computational processes....",80000
816,Origin Energy,Business Analyst - Digital - Data Management,Brisbane QLD,0,"Business Analyst – Digital – Data Management. Reporting to the Data Management Lead, you'll form part of a team who plays a crucial role in delivering Origin's...",80000
817,Ashdown Consulting,Sales & Marketing Campaign Data Analyst,Sydney NSW,"$80,000 - $90,000 a year","Candidates should have exceptional data skills, experience in designing new process and be a consultant on the design and data execution across the business....",80000
818,Reserve Bank of Australia,Senior Test Analyst,Sydney NSW,0,"Understanding of Business Intelligence and Data Warehousing concepts. Experience with Data and Systems Migration, and Production Implementation of new systems....",80000
819,Sibelco,Business Analyst - Rockhampton,Australia,0,"Provide analytical support including preparation of reports, data and PowerPoint presentations. Expertise in financial modelling with the ability to prepare and...",80000
820,Salt Recruitment,"Data Scientist - Consultant Sydney, Australia",Sydney NSW,"$100,000 - $120,000 a year","Data Modelling, client engagement, statistical modelling. You will also get the opportunity to work within different industries and experience how different...",80000
821,Link Group,Fraud & AML Data Analyst,Melbourne VIC,0,Data queries and verification. Strong analytical abilities both on data and processes. Leverage data (and intelligence) to enhance fraud detection and...,80000
822,Evolution Recruitment Solutions,Junior Data Scientist,Sydney NSW,0,"Overall, you may have up to 1.5-2 years' experience as a Data Scientist/upcoming Data Scientist. Some experience with SQL for data querying....",80000
823,eBay Inc.,Advertising Business Analyst - Gumtree,Sydney NSW,0,"The Advertising Business Analyst develops strategic insights around buyer, marketplace and yield performance for our advertising revenues and supports our...",80000
824,Omnicom Group,Senior Data Scientist,Sydney NSW,0,3-5 years' experience of building models and deriving insights in a position as an Analyst or a Data Scientist....,80000
825,Lawson Grains,Business Systems Analyst - Albury Office,Albury NSW,0,Facilitate a consistent and effective approach on reporting and data management. Extensive and in depth analysis of data to identify value propositions across...,80000
826,Michael Page,Data Analyst - Financial Services,Perth WA,"$95,000 - $110,000 a year",Advanced excel skills with the ability to build models derived from large sets of data. This will be a challenging yet rewarding role for an ambitious and...,80000
827,Alloc8 Recruitment Solutions Pty Ltd,Data Warehouse Analyst - Full life-cycle role.,Sydney NSW,0,"Working in a team of dedicated ETL and Data Integration developers you will play a key role in the delivery of ETL, Modelling and Data Warehouse solutions...",80000
828,Michael Page,Data Insights Analyst,Melbourne VIC,0,"Ensure data is safely stored for future accessibility, including document data collection, analysis and reporting....",80000
829,SafetyCulture,Data Engineer,Sydney NSW,0,You will work closely with our data analysts to build large-scale data processing systems based on your extensive knowledge of the data and engineering best...,80000
830,Equifax,Analyst,Melbourne VIC,0,As an Analyst you will perform in-depth analysis to drive data quality improvements within Equifax's core data assets in alignment with the product team's...,80000
831,Airservices Australia,Safety Performance Analyst,Canberra ACT,0,The Safety Performance Analyst will undertake the following responsibilities:. Apply innovative problem solving approaches and feasible technologies to...,80000
832,Marsh,Risk and Compliance Analyst - Financial Services,Sydney NSW,0,"Ability to analyse data and collate and prepare reports in relation to risk profiles, statutory compliance requirements, regulatory fund lodgements, incidents,...",80000
833,Deloitte,Commercial Analyst (Health Advisory team),Sydney NSW,0,"On any given day, Analysts and Senior Analysts in our team will be undertaking data analysis or research, applying analytical frameworks, drafting reports and...",80000
834,AIG,"Actuarial Analyst, Pricing & Portfolio Management",Sydney NSW,0,Proven experience as insurance business analyst and/or portfolio management using data visualization tools for the purpose of ensuring company financial...,80000
835,HCF,Senior Analyst Programmer,Sydney Central Business District NSW,0,"Reporting to the Development Manager, the Senior Analyst Programmer – AEM is required to:. Mentors and develops analyst programmers to support achievement of...",80000
836,TripADeal,Cost Analyst,Byron Bay NSW,0,Carry out cost accounting functions for new product and flights while analysing financial data each month....,80000
837,Manpower Services (Hong Kong) Limited,"Analyst, Banking (12 months, renewable)",Australia,0,Analyze the company operations performance base on given data. Provide and generate data and performance reports periodically....,80000
838,DANONE,Master Data Manager,Macquarie Park NSW,0,You will have a SAP Master Data Analyst reporting to you assisting with the day to day data management. This role will give you the opportunity to really...,80000
839,Fuji Xerox Pty Limited,Senior Analyst - Analytics & Innovation,New South Wales,0,Forecasting innovation & development and source data (Deep dive) improvement to aid analytics. Your chance to join the ranks in a dynamic team who are leading...,80000
840,Salt Recruitment,"Data Scientist Sydney, Australia",Sydney NSW,0,"A strong understanding of the impact that data science has on the business and why. I am currently recruiting for a Data Scientist for one of my clients, based...",80000
841,HomeAway,Business Analyst - Process Optimisation,Sydney NSW,0,Ensure data accuracy and provide interpretation of data for business management at regular intervals to guide strategic business decisions....,80000
842,Hays,Investment Operations Analyst,Sydney Central Business District NSW,"$85,000 a year","Investment Operations Analyst, Sydney CBD, $70k-$85k package + bonus. You will be responsible for the reconciliations of client accounts to custodian data both...",80000
843,Michael Page,Business Analyst,Sydney NSW,"$80,000 - $100,000 a year",Business Analyst Certification IIBA. Develop and monitor data quality metrics and ensure and ensure business data and reporting needs are met across the...,80000
844,Dimension Data,Senior SAM Analyst,Sydney NSW,0,Manage a team of Analysts and act as coach to Junior Business Analysts. Diversity in Dimension Data. Join our growing global team and accelerate your career...,80000
845,S&P Global Ratings,"Rating Analyst, Ratings Analytical",Melbourne VIC,0,"Rating Analyst, Ratings Analytical (Melbourne). As a Ratings Analyst you will be conducting credit and financial analysis, reviewing researching and managing...",80000
846,Michael Page,Business Analyst - Government,Sydney NSW,$700 - $850 a day,"Business Analyst - Big Storage Project. Development of comprehensive business specifications that include data analysis, assessing infrastructure requirements,...",80000
847,Amadeus,Product Definition Analyst,Sydney NSW,0,"The platform supporting these processes are of massive scale in infrastructure (100 000 cores computing the transactions), in operations (25 000 transactions...",80000
848,Manpower Services (Hong Kong) Limited,Marketing Analyst,Australia,0,"Responsibilities: Support business goals by planning, executing and measuring regional campaigns in alignment with divisional marketing strategy Support and...",80000
849,CPT Global,Test Analyst (Manual),Melbourne VIC,0,Test Analyst (Manual). Able to identify Test Data requirements. CPT Global is looking for an experienced Manual Test Analyst....,80000
850,Victorian Government,Analyst (VPSG4),Melbourne City Centre VIC,"$82,574 - $93,689 a year","Strong skills and experience in data collection and analysis, particularly quantitative data. This position will provide you with the opportunity to demonstrate...",80000
851,Clicks IT Recruitment,Senior Data Analyst/Policy Officer,Victoria,0,"Experience to integrate new data into a data warehouse, ensure integrity of data and report regularly. Understanding principles of data migration from one data...",80000
852,Australian Recruiting Group,Data Scientist,Sydney NSW,0,Applies experience in data and system engineering. Applies technical knowledge and experience in various data science areas....,80000
853,Woolworths Supermarkets,Range and Space Analyst,New South Wales,0,"Ability to clearly communicate insights from data. Produce data & reporting, alongside creating insight from this information....",80000
854,Progressive Recruitment,Senior Data Analyst,Sydney NSW,0,"Senior Data Analyst - 12 month contract - North Sydney. Recent demonstrated experience in undertaking a Senior Data manager, Senior data analyst or Database...",80000
855,Contino,"Data Scientist, Melbourne",Melbourne VIC,0,"The Data Scientist at Contino works with customers to identify intelligence from massive streams of data. Designing queries for ingestion of data, designing...",80000
856,Ferrero,Commercial Financial Analyst,Sydney NSW,0,"Continually review processes used within the business, provide recommendations for improvement to ensure integrity of financial data....",80000
857,Finite IT,Campaign Insights Analyst,Sydney NSW,0,"Demonstrated data analysis and insights experience, ideally within marketing or product pricing. A leading Financial Services organisation is seeking a Campaign...",80000
858,PwC,Actuarial Analyst,Melbourne VIC,0,"Quantitative data analysis and modelling using statistical techniques. Join PwC's Actuarial team as an Actuarial Analyst and work on a wide variety of projects,...",80000
859,Zone IT Solutions,Data Analyst,Adelaide SA,0,Experience as a Data Analyst. We are looking for a Data Analyst for a long term contract in Adelaide. Data Analysis & Profiling (e.g....,80000
860,Hays,Senior Data Analyst,Canberra ACT,0,Senior Data Analyst required for a data exploration and analytics project. You will be the Senior Data Analyst in the team responsible for extracting insights...,80000
861,S&P DOW JONES INDICES,Senior Application Support Analyst,Sydney NSW,0,Troubleshoot data and system issues with stock exchanges and market data distributors. Experience in system monitoring and data validation....,80000
862,Pinpoint Talent,Business Analyst,Canberra ACT,0,"Demonstrated experience in working from end to end, that is from project initiation, scoping, documenting all processes, tasks, data, gaps right through to...",80000
863,Michael Page,Junior Busines Analyst,Sydney NSW,0,"Using data mining to provide insights on view of data and metrics. Data mining, problem solving. Providing data analysis for the development of products,...",80000
864,Parity Consulting,Product Analyst,Sydney NSW,"$80,000 - $90,000 a year","Understand the data content and make recommendations. Ideally coming from a business analyst or product owner role, you will have experience of working in an...",80000
865,Michael Page,Data Analyst - SQL/ Advanced Excel,Melbourne VIC,"$100,000 - $120,000 a year","Seeking multiple technically strong Data Analyst. Provide subject matter expertise in MS Excel, data mining and data visualisation tools....",80000
866,Culture Amp,Data Scientist,Melbourne VIC,0,"Work with the data science team to facilitate data driven product enhancements through research, prototyping and engineering while also translating data and...",80000
867,Greythorn Australia Old,Data Scientist,Sydney NSW,0,Leverage existing data and new data from IoT to develop insights for the business. Contributing to IT and data strategy....,80000
868,Talent Insights Group,Process Analyst - Demand Management,Sydney NSW,$700 a day,"Analytical ability to gather, organize and interpret data and to identify discrepancies, problems or issues....",80000
869,Robert Walters,"Senior Analyst, Data Analytics",Sydney Central Business District NSW,0,As a Senior Analyst with strong financial modelling and data analytics skills you will leverage your critical analysis ability to assist with a range of...,80000
870,Profusion Group,Data Scientist,Sydney NSW,0,"Ability to explore, define and resolve business problems using data and various data science techniques. Due to this growth they are looking for an intuitive...",80000
871,Sustainability Consulting,Commercial Analyst,Sydney NSW,$45 - $50 an hour,"Compile and analyse extensive financial data to present to stakeholders. This media giant have interests across the media landscape including television,...",80000
